ID,Title,Date,Image_URL,Characters,Page_URL,arc_number,arc_name
0040,She’s Not The Best One To Ask,"September 8, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-08-shes-not-the-best-one-to-ask.png,"Bino, Sasha",https://www.housepetscomic.com/comic/2008/09/08/shes-not-the-best-one-to-ask/,6.0,Fido's Return
0041,An Understandable Mistake To Make,"September 10, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-10-an-understandable-mistake-to-make.png,"Bino, Sasha",https://www.housepetscomic.com/comic/2008/09/10/an-understandable-mistake-to-make/,6.0,Fido's Return
0042,Mmm Foot Flavored Speech,"September 12, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-12-mmm-foot-flavored-speech.png,"Bino, Fido, Grape",https://www.housepetscomic.com/comic/2008/09/12/mmm-foot-flavored-speech/,6.0,Fido's Return
0043,Shut Up We’re Trying To Praise You,"September 15, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-15-shut-up-were-trying-to-praise-you.png,"Daisy, Fido, Fox, Neighborhood Dogs, Sasha",https://www.housepetscomic.com/comic/2008/09/15/shut-up-were-trying-to-praise-you/,6.0,Fido's Return
0044,The Nerve Of Him,"September 17, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-17-the-nerve-of-him.png,"Bino, Fido, Grape, Neighborhood Dogs",https://www.housepetscomic.com/comic/2008/09/17/the-nerve-of-him/,6.0,Fido's Return
0045,Grape Solves Another Problem With Violence,"September 19, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-19-grape-solves-another-problem-with-violence.png,"Bino, Grape",https://www.housepetscomic.com/comic/2008/09/19/grape-solves-another-problem-with-violence/,6.0,Fido's Return
0046,The Lampshades Were Party Favors,"September 22, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-22-the-lampshades-were-party-favors.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/09/22/the-lampshades-were-party-favors/,6.0,Fido's Return
0047,Bino Stars As Colonel Klink,"September 24, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-24-bino-stars-as-colonel-klink.png,"Bino, Fox, Grape, Peanut, Rex",https://www.housepetscomic.com/comic/2008/09/24/bino-stars-as-colonel-klink/,6.0,Fido's Return
0048,Goodnight Everybody,"September 26, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-26-goodnight-everybody.png,"Fido, Grape, Peanut, Ryan, Sabrina",https://www.housepetscomic.com/comic/2008/09/26/goodnight-everybody/,6.0,Fido's Return
0049,The Draft Title Was Eat Cheese And Die,"September 29, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-29-the-draft-title-was-eat-cheese-and-die.png,"Karl-Lenin Faust, Peanut",https://www.housepetscomic.com/comic/2008/09/29/the-draft-title-was-eat-cheese-and-die/,7.0,Mouse Mouse Revolution
0050,"Behold, The Power Of Che","October 1, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-01-behold-the-power-of-che.png,"Grape, Karl-Lenin Faust, Neighborhood Mice, Peanut",https://www.housepetscomic.com/comic/2008/10/01/behold-the-power-of-che/,7.0,Mouse Mouse Revolution
0051,Stop The Revolution I Want To Get Off,"October 3, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-03-stop-the-revolution-i-want-to-get-off.png,"Grape, Karl-Lenin Faust, Neighborhood Mice",https://www.housepetscomic.com/comic/2008/10/03/stop-the-revolution-i-want-to-get-off/,7.0,Mouse Mouse Revolution
0052,Ode On A Kitty Tummy,"October 6, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-06-ode-on-a-kitty-tummy.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/10/06/ode-on-a-kitty-tummy/,8.0,Thematic Arc of Questionable Quality
0053,Philosophical Quandaries Must Wait,"October 8, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-08-philosophical-quandaries-must-wait.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/10/08/philosophical-quandaries-must-wait/,8.0,Thematic Arc of Questionable Quality
0054,Scientific Progress Goes Zonk,"October 10, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-10-scientific-progress-goes-zonk.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/10/10/scientific-progress-goes-zonk/,8.0,Thematic Arc of Questionable Quality
0055,Have Leash Will Travel,"October 13, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-13-have-leash-will-travel.png,"Grape, Mr. Sandwich, Peanut",https://www.housepetscomic.com/comic/2008/10/13/have-leash-will-travel/,9.0,The Zoo
0056,In What Furnace Was Thy Brain,"October 15, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-15-in-what-furnace-was-thy-brain.png,"Grape, Peanut, Shardul",https://www.housepetscomic.com/comic/2008/10/15/in-what-furnace-was-thy-brain/,9.0,The Zoo
0057,You Mean She “Otter” Be,"October 17, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-17-you-mean-she-otter-be.png,"Gambit, Otters, Peanut, Tarmac",https://www.housepetscomic.com/comic/2008/10/17/you-mean-she-otter-be/,9.0,The Zoo
0058,Kangaroos Loose In The Top Paddock,"October 20, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-20-kangaroos-loose-in-the-top-paddock.png,"Bruce, Grape, Peanut, Roosevelt",https://www.housepetscomic.com/comic/2008/10/20/kangaroos-loose-in-the-top-paddock/,9.0,The Zoo
0059,In Touch With The Ground,"October 22, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-22-in-touch-with-the-ground.png,"Grape, Peanut, Wolves",https://www.housepetscomic.com/comic/2008/10/22/in-touch-with-the-ground/,9.0,The Zoo
0060,Related To Killer Whales,"October 24, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-24-related-to-killer-whales.png,"Dolphins, Grape, Peanut",https://www.housepetscomic.com/comic/2008/10/24/related-to-killer-whales/,9.0,The Zoo
0061,Thus Grape Zarathustra,"October 27, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-27-thus-grape-zarathustra.png,"Apes, Grape, Peanut",https://www.housepetscomic.com/comic/2008/10/27/thus-grape-zarathustra/,9.0,The Zoo
0062,Gourmet Buffet,"October 29, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-29-gourmet-buffet.png,"Grape, Zoo Keeper",https://www.housepetscomic.com/comic/2008/10/29/gourmet-buffet/,9.0,The Zoo
0063,Because Hes Allergic You See,"October 31, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-10-31-because-hes-allergic-you-see.png,"Grape, Marvin, Peanut, Sasha, Tiger",https://www.housepetscomic.com/comic/2008/10/31/because-hes-allergic-you-see/,,
0064,Wait Where Did He Get A Computer,"November 3, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-03-wait-where-did-he-get-a-computer.png,"Foxes, Karishad, Peanut, Silverbolt",https://www.housepetscomic.com/comic/2008/11/03/wait-where-did-he-get-a-computer/,9.0,The Zoo
0065,Do Not Taunt The Animals,"November 5, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-05-do-not-taunt-the-animals.png,"Grape, Peanut, Snakes",https://www.housepetscomic.com/comic/2008/11/05/do-not-taunt-the-animals/,9.0,The Zoo
0066,They Have An Edge Because They’re Literate,"November 7, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-07-they-have-an-edge-because-theyre-literate.png,"Grape, Mr. Sandwich, Peanut",https://www.housepetscomic.com/comic/2008/11/07/they-have-an-edge-because-theyre-literate/,9.0,The Zoo
0067,Nothing Strange Here At All,"November 10, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-10-nothing-strange-here-at-all.png,"Marvin, Poom, Tiger",https://www.housepetscomic.com/comic/2008/11/10/nothing-strange-here-at-all/,,
0068,Monkey Business,"November 12, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-12-monkey-business.png,"Grape, Mr. Sandwich",https://www.housepetscomic.com/comic/2008/11/12/monkey-business/,,
0069,Deep Thoughts,"November 14, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-14-deep-thoughts.png,"Bino, Sasha",https://www.housepetscomic.com/comic/2008/11/14/deep-thoughts/,,
0070,Before That It Was A Weird Mushroom,"November 17, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-17-before-that-it-was-a-weird-mushroom.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/11/17/before-that-it-was-a-weird-mushroom/,10.0,The Grove
0071,Sylvan Glen,"November 19, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-19-sylvan-glen.png,"Grape, Peanut, Pete",https://www.housepetscomic.com/comic/2008/11/19/sylvan-glen/,10.0,The Grove
0072,And She Said It Had No Practical Value,"November 21, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-21-and-she-said-it-had-no-practical-value.png,"Grape, Peanut, Pete",https://www.housepetscomic.com/comic/2008/11/21/and-she-said-it-had-no-practical-value/,10.0,The Grove
0073,Most Pertinent Of Questions,"November 24, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-24-most-pertinent-of-questions.png,"Grape, Peanut, Pete",https://www.housepetscomic.com/comic/2008/11/24/most-pertinent-of-questions/,10.0,The Grove
0074,Maybe There Was An Emu?,"November 26, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-26-maybe-there-was-an-emu.png,"Grape, Pete",https://www.housepetscomic.com/comic/2008/11/26/maybe-there-was-an-emu/,10.0,The Grove
0075,"Delicious, Delicious Food","November 28, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-11-28-delicious-delicious-food.png,"Grape, Mr. Sandwich, Mrs. Sandwich, Peanut",https://www.housepetscomic.com/comic/2008/11/28/delicious-delicious-food/,,
0076,A Reverent Respect,"December 1, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-01-a-reverent-respect.png,Peanut,https://www.housepetscomic.com/comic/2008/12/01/a-reverent-respect/,11.0,Housepets Christmas
0077,He Minds,"December 3, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-03-he-minds.png,"Bino, Fox",https://www.housepetscomic.com/comic/2008/12/03/he-minds/,11.0,Housepets Christmas
0078,"Come On, It’s Your Thing","December 5, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-05-come-on-its-your-thing.png,"Bino, Maxwell",https://www.housepetscomic.com/comic/2008/12/05/come-on-its-your-thing/,11.0,Housepets Christmas
0079,And Labor Laws,"December 8, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-08-and-labor-laws.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/12/08/and-labor-laws/,11.0,Housepets Christmas
0080,Patching Things Up,"December 10, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-10-patching-things-up.png,"Bino, Grape, Peanut, Store Clerk",https://www.housepetscomic.com/comic/2008/12/10/patching-things-up/,11.0,Housepets Christmas
0081,So . . . That’s A No?,"December 12, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-12-so-thats-a-no.png,"Grape, Maxwell",https://www.housepetscomic.com/comic/2008/12/12/so-thats-a-no/,11.0,Housepets Christmas
0082,The Happiest Season Of All,"December 15, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-15-the-happiest-season-of-all.png,"Grape, Peanut, Rex",https://www.housepetscomic.com/comic/2008/12/15/the-happiest-season-of-all/,11.0,Housepets Christmas
0083,Lame Joke #83,"December 17, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-17-lame-joke-83.png,"Bill, Fox, Peanut",https://www.housepetscomic.com/comic/2008/12/17/lame-joke-83/,11.0,Housepets Christmas
0084,Best Laid Plans,"December 19, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-19-best-laid-plans.png,"Bino, Maxwell",https://www.housepetscomic.com/comic/2008/12/19/best-laid-plans/,11.0,Housepets Christmas
0085,Ew,"December 22, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-22-ew.png,"Bino, Peanut",https://www.housepetscomic.com/comic/2008/12/22/ew/,11.0,Housepets Christmas
0086,How Could He Say Yes To A Face Like That,"December 24, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-24-how-could-he-say-yes-to-a-face-like-that.png,"Bino, Fido, Peanut",https://www.housepetscomic.com/comic/2008/12/24/how-could-he-say-yes-to-a-face-like-that/,11.0,Housepets Christmas
0087,Housepets Christmas Edition,"December 25, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-25-housepets-christmas-edition.png,"Bailey, Bino, Daisy, Fido, Fox, Grape, Jerry, Joey, Marvin, Maxwell, Mr. Hartford, Mr. Holloway, Peanut, Raccoons, Rex, Sabrina, Sasha, Squeak, Tiger, Zach",https://www.housepetscomic.com/comic/2008/12/25/housepets-christmas-edition/,11.0,Housepets Christmas
0088,Housepets Now With More Cats,"December 29, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-29-housepets-now-with-more-cats.png,"Grape, Jasper, Joey, Maxwell, Mr. Bigglesworth",https://www.housepetscomic.com/comic/2008/12/29/housepets-now-with-more-cats/,12.0,The Yarn Ball
0089,Night At The Ritz,"December 31, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-12-31-night-at-the-ritz.png,"Fiddler, Grape, Keys, Maxwell, Neighborhood Cats",https://www.housepetscomic.com/comic/2008/12/31/night-at-the-ritz/,12.0,The Yarn Ball
0090,Nipping’s Not A Crime,"January 2, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-02-nippings-not-a-crime.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2009/01/02/nippings-not-a-crime/,12.0,The Yarn Ball
0091,Stunning Masterpiece,"January 12, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-12-stunning-masterpiece.png,"Nefarious Villains, Spot (Superdog)",https://www.housepetscomic.com/comic/2009/01/12/stunning-masterpiece/,13.0,The Further Adventures of Spot
0092,A Beautiful Mind,"January 14, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-14-a-beautiful-mind.png,"Innocent Bystanders, Spot (Superdog)",https://www.housepetscomic.com/comic/2009/01/14/a-beautiful-mind/,13.0,The Further Adventures of Spot
0093,"No, No It’s Not","January 16, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-16-no-no-its-not.png,"Grape, Nefarious Villains, Peanut, Spot (Superdog)",https://www.housepetscomic.com/comic/2009/01/16/no-no-its-not/,13.0,The Further Adventures of Spot
0094,And Statistics,"January 19, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-19-and-statistics.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2009/01/19/and-statistics/,14.0,The Vet
0095,Haven’t You Caused Enough Pain,"January 21, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-21-havent-you-caused-enough-pain.png,"Grape, Mr. Sandwich, Peanut, Secretary",https://www.housepetscomic.com/comic/2009/01/21/havent-you-caused-enough-pain/,14.0,The Vet
0096,Sweet Memories,"January 23, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-23-sweet-memories.png,"Eldritch Abomination, Grape, Kitten Grape, Vet",https://www.housepetscomic.com/comic/2009/01/23/sweet-memories/,14.0,The Vet
0097,Then She Points To Her Ear,"January 26, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-26-then-she-points-to-her-ear.png,"Grape, Vet",https://www.housepetscomic.com/comic/2009/01/26/then-she-points-to-her-ear/,14.0,The Vet
0098,Unorthodox Medicine,"January 28, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-28-unorthodox-medicine.png,"Grape, Vet",https://www.housepetscomic.com/comic/2009/01/28/unorthodox-medicine/,14.0,The Vet
0099,Hello Vet,"January 30, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-01-30-hello-vet.png,"Grape, Lady Vet, Orderly, Peanut",https://www.housepetscomic.com/comic/2009/01/30/hello-vet/,14.0,The Vet
0100,The Treat In Treatment,"February 2, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-02-02-the-treat-in-treatment.png,"Grape, Lady Vet, Mr. Sandwich, Peanut",https://www.housepetscomic.com/comic/2009/02/02/the-treat-in-treatment/,14.0,The Vet
0101,Incredible Displays Of Compassion,"February 4, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-02-04-incredible-displays-of-compassion.png,"Grape, Lady Vet, Mr. Sandwich, Peanut",https://www.housepetscomic.com/comic/2009/02/04/incredible-displays-of-compassion/,14.0,The Vet
0102,Terrible Consequences,"February 6, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-02-06-terrible-consequences.png,"Grape, Peanut, TV",https://www.housepetscomic.com/comic/2009/02/06/terrible-consequences/,14.0,The Vet
0103,Or Is He Just Projecting,"February 9, 2009",https://www.housepetscomic.com/wp-content/uploads/2016/07/2009-02-09-or-is-he-just-projecting.png,"Tiger, Zach",https://www.housepetscomic.com/comic/2009/02/09/or-is-he-just-projecting/,,
